t # 0
v ja ja
v jg jg
v comisd comisd
v jns jns
v test test
v db db
v cdqe cdqe
v fstp fstp
v retn retn
v jge jge
v lahf lahf
v jl jl
v movsx movsx
v setnz setnz
v subsd subsd
v jbe jbe
v not not
v setle setle
v ﻿sub ﻿sub
v js js
v ucomisd ucomisd
v movsxd movsxd
v jmp jmp
v cmovnz cmovnz
v lea lea
v setz setz
v mov mov
v cmovle cmovle
v pop pop
v cvttsd2si cvttsd2si
v movsd movsd
v cmovl cmovl
v cvtdq2pd cvtdq2pd
v shl shl
v jz jz
v cmovns cmovns
v inc inc
v divsd divsd
v cmovz cmovz
v cdq cdq
v fld fld
v and and
v mulsd mulsd
v cmovs cmovs
v xor xor
v sub sub
v sbb sbb
v movaps movaps
v jle jle
v dec dec
v adc adc
v shr shr
v movzx movzx
v jnz jnz
v add add
v or or
v jb jb
v jnb jnb
v call call
v push push
v sar sar
v cmova cmova
v xorps xorps
v xchg xchg
v mul mul
v cmp cmp
v cmovnb cmovnb
v cmovge cmovge
v imul imul
v rep rep
v neg neg
v nop nop
e cmovz cmp 0.16666666666666666
e cmovz mov 0.8333333333333334
e setle sub 1.0
e adc xor 0.3333333333333333
e adc lea 0.3333333333333333
e adc mov 0.3333333333333333
e sub sub 0.031007751937984496
e sub xor 0.015503875968992248
e sub test 0.023255813953488372
e sub movsxd 0.015503875968992248
e sub call 0.03875968992248062
e sub or 0.015503875968992248
e sub cmp 0.07751937984496124
e sub dec 0.007751937984496124
e sub neg 0.007751937984496124
e sub shr 0.007751937984496124
e sub movsd 0.031007751937984496
e sub lea 0.11627906976744186
e sub mov 0.4883720930232558
e sub add 0.08527131782945736
e sub sar 0.015503875968992248
e sub rep 0.007751937984496124
e sub and 0.007751937984496124
e sub push 0.007751937984496124
e db nop 1.0
e js call 1.0
e cmovge cmovge 0.25
e cmovge test 0.25
e cmovge mov 0.5
e ﻿sub mov 1.0
e xor xor 0.14
e xor test 0.02666666666666667
e xor movaps 0.006666666666666667
e xor call 0.013333333333333334
e xor pop 0.013333333333333334
e xor jmp 0.06
e xor cmp 0.06666666666666667
e xor lea 0.08666666666666667
e xor mov 0.4266666666666667
e xor add 0.1
e xor rep 0.006666666666666667
e xor retn 0.02666666666666667
e xor fld 0.006666666666666667
e xor and 0.006666666666666667
e cdqe lea 0.3333333333333333
e cdqe mov 0.3333333333333333
e cdqe add 0.3333333333333333
e cvtdq2pd cmovl 0.25
e cvtdq2pd mulsd 0.5
e cvtdq2pd shr 0.25
e cmovl cmp 0.3333333333333333
e cmovl mov 0.3333333333333333
e cmovl push 0.3333333333333333
e jz test 0.10606060606060606
e jz not 0.007575757575757576
e jz movsxd 0.06060606060606061
e jz call 0.03787878787878788
e jz jb 0.007575757575757576
e jz cmp 0.14393939393939395
e jz movzx 0.015151515151515152
e jz movsd 0.007575757575757576
e jz lea 0.10606060606060606
e jz mov 0.3181818181818182
e jz add 0.03787878787878788
